name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,2,1,53,1,"Jump Shot","3PT Field Goal",23,"Detroit Pistons",236,-1,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-15,2016,6472,1610612738,400900242,3,5,46,0,"Jump Shot","2PT Field Goal",3,"Philadelphia 76ers",38,11,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,4,7,03,0,"Jump Shot","2PT Field Goal",5,"Detroit Pistons",-20,56,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,1,6,11,0,"Jump Shot","2PT Field Goal",10,"Detroit Pistons",-34,95,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,3,10,32,1,"Jump Shot","3PT Field Goal",26,"Detroit Pistons",-56,254,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,3,9,06,1,"Jump Shot","3PT Field Goal",25,"Detroit Pistons",-225,129,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,3,8,29,0,"Jump Shot","3PT Field Goal",26,"Detroit Pistons",-176,198,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,3,6,06,0,"Jump Shot","3PT Field Goal",25,"Detroit Pistons",-124,218,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,4,6,42,0,"Jump Shot","3PT Field Goal",26,"Detroit Pistons",-102,247,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,4,5,06,1,"Jump Shot","3PT Field Goal",25,"Detroit Pistons",50,249,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,4,4,29,0,"Jump Shot","3PT Field Goal",25,"Detroit Pistons",119,223,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-26,2016,6472,1610612738,400900285,3,5,13,1,"Jump Shot","3PT Field Goal",23,"Detroit Pistons",233,31,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-02-03,2016,6472,1610612738,400900156,1,6,05,0,"Jump Shot","2PT Field Goal",6,"Los Angeles Lakers",-65,16,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-15,2016,6472,1610612738,400900401,1,11,28,1,"Jump Shot","2PT Field Goal",19,"Minnesota Timberwolves",125,154,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-15,2016,6472,1610612738,400900401,3,3,30,0,"Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",120,228,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-15,2016,6472,1610612738,400900401,4,4,43,1,"Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-34,252,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-15,2016,6472,1610612738,400900401,4,3,04,1,"Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-97,234,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-15,2016,6472,1610612738,400900401,1,3,31,0,"Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",137,198,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2017-03-15,2016,6472,1610612738,400900401,3,9,13,0,"Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-132,223,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-02,2016,6472,1610612738,400899511,1,2,39,1,"Jump Shot","3PT Field Goal",25,"Chicago Bulls",-78,239,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-02,2016,6472,1610612738,400899511,1,7,12,0,"Jump Shot","3PT Field Goal",23,"Chicago Bulls",232,13,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-02,2016,6472,1610612738,400899511,1,2,00,1,"Jump Shot","3PT Field Goal",25,"Chicago Bulls",-112,234,0,0.00,,0.00,0.00
"Isaiah Thomas","Boston Celtics",2016-11-02,2016,6472,1610612738,400899511,2,4,18,1,"Jump Shot","3PT Field Goal",27,"Chicago Bulls",-160,218,0,0.00,,0.00,0.00
